State/District,Murder with Rape/Gang Rape,Dowry Deaths (Sec. 304B IPC),Abetment to Suicide of Women (Sec. 305/306 IPC),Miscarriage ,Acid Attack (Sec. 326A IPC),Attempt to Acid Attack (Sec. 326B IPC),Cruelty by Husband or his relatives,Human Trafficking (Sec. 370 & 370A IPC) ,Selling of Minor Girls (Sec. 372 IPC),Buying of Minor Girls (Sec. 373 IPC),Rape,"Dowry Prohibition Act, 1961",YEAR,Total_Crimes ,Severe_Crimes,Safety_Label
Jamui,0,16,0,0,0,0,17,0,0,0,12,44,2021,89,28,Safe
Jehanabad,0,22,0,0,0,0,12,0,0,0,0,29,2021,63,22,Safe
Katihar,0,14,0,0,0,0,42,0,0,0,62,108,2021,226,76,Unsafe
Khagaria,0,11,0,0,0,0,17,0,0,0,12,51,2021,91,23,Safe
Madhubani,0,29,0,0,0,0,151,0,0,0,21,34,2021,235,50,Unsafe
Hailakandi,0,3,0,0,0,0,409,0,0,0,123,1,2021,536,126,Unsafe
Karbi Anglong,0,0,0,0,0,0,82,0,0,0,21,4,2021,107,21,Unsafe
Bhind,0,24,0,0,0,0,217,0,0,0,31,2,2021,274,55,Unsafe
Kottayam,0,0,0,0,0,0,157,0,0,0,39,2,2021,198,39,Unsafe
Pathanamthitta,0,1,0,0,0,0,103,0,0,0,27,32,2021,163,28,Unsafe
Ganderbal,0,0,0,0,0,0,17,0,0,0,1,2,2021,20,1,Safe
Saraikela,0,7,0,0,0,0,12,0,0,0,21,54,2021,94,28,Safe
Sahebganj,0,7,0,0,0,0,83,0,0,0,46,94,2021,230,53,Unsafe
Bokaro,0,14,0,0,0,0,91,0,0,0,110,130,2021,345,124,Unsafe
Chatra,0,11,0,0,0,0,14,0,0,0,28,37,2021,90,39,Safe
Koderma,0,13,0,0,0,0,38,0,0,0,11,15,2021,77,24,Safe
Lohardagga,0,3,0,0,0,0,16,0,0,0,30,13,2021,62,33,Safe
Pakur,0,4,0,0,0,0,24,0,0,0,55,63,2021,146,59,Unsafe
Palamu,0,21,0,0,0,0,25,0,0,0,49,88,2021,183,70,Unsafe
Ramgarh,0,6,0,0,0,0,7,0,0,0,25,47,2021,85,31,Safe
Ranchi,0,21,0,0,0,0,138,0,0,0,206,127,2021,492,227,Unsafe
Jaipur Metro,0,0,0,0,0,0,0,0,0,0,0,0,2022,0,0,Safe
SCRB,0,0,0,0,0,0,0,0,0,0,0,0,2022,0,0,Safe
SOG,0,0,0,0,0,0,0,0,0,0,0,0,2022,0,0,Safe
SSB,0,0,0,0,0,0,0,0,0,0,0,0,2022,0,0,Safe
